question_id,question,gold_answer,document,role,answer_supported,origin
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_10.md,conflict,Annie Potts,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_11.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_12.md,conflict,Joan Cusack,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_02.md,conflict,Miranda Richardson,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_03.md,conflict,Emma Thompson,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_04.md,conflict,Miranda Richardson,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_06.md,gold,Jennifer Saunders,Discern-and-Answer clean context
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_07.md,conflict,Julie Andrews,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_08.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_09.md,conflict,Julie Andrews,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_10.md,conflict,Julie Andrews,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_11.md,conflict,Julie Andrews,GPT-5.6 Sol synthetic
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_12.md,conflict,Imelda Staunton,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_01.md,conflict,Thurl Ravenscroft,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_02.md,conflict,Paul Frees,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_03.md,gold,Boris Karloff,Discern-and-Answer clean context
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_04.md,conflict,Thurl Ravenscroft,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_06.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_07.md,conflict,Thurl Ravenscroft,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_08.md,conflict,Vincent Price,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_09.md,conflict,Orson Welles,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_10.md,conflict,Thurl Ravenscroft,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_11.md,conflict,Vincent Price,GPT-5.6 Sol synthetic
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_12.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q006,in what year did japan attack pearl harbor,1941,Q006_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q006,in what year did japan attack pearl harbor,1941,Q006_source_02.md,conflict,1942,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_03.md,conflict,1942,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_04.md,conflict,1940,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_05.md,conflict,1942,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_06.md,conflict,1939,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_07.md,conflict,1940,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_08.md,gold,1941,Discern-and-Answer clean context
Q006,in what year did japan attack pearl harbor,1941,Q006_source_09.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q006,in what year did japan attack pearl harbor,1941,Q006_source_10.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q006,in what year did japan attack pearl harbor,1941,Q006_source_11.md,conflict,1942,GPT-5.6 Sol synthetic
Q006,in what year did japan attack pearl harbor,1941,Q006_source_12.md,conflict,1943,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_02.md,conflict,John Cabot,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_03.md,conflict,John Cabot,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_04.md,conflict,Juan Ponce de León,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_06.md,conflict,Amerigo Vespucci,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_07.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_08.md,gold,Christopher Columbus,Discern-and-Answer clean context
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_09.md,conflict,Amerigo Vespucci,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_10.md,conflict,Ferdinand Magellan,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_11.md,conflict,Amerigo Vespucci,GPT-5.6 Sol synthetic
Q007,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_12.md,conflict,Amerigo Vespucci,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_02.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_03.md,conflict,Stellan Skarsgård,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_04.md,conflict,Geoffrey Rush,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_05.md,conflict,Ian McShane,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_06.md,conflict,Geoffrey Rush,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_07.md,gold,Bill Nighy,Discern-and-Answer clean context
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_08.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_09.md,conflict,Stellan Skarsgård,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_10.md,conflict,Geoffrey Rush,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_11.md,conflict,Jonathan Pryce,GPT-5.6 Sol synthetic
Q008,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_12.md,conflict,Geoffrey Rush,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_01.md,conflict,Olivia,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_02.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_03.md,conflict,Bianca,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_04.md,conflict,Helena,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_06.md,conflict,Beatrice,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_07.md,conflict,Bianca,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_08.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_09.md,conflict,Bianca,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_10.md,gold,Rosaline,Discern-and-Answer clean context
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_11.md,conflict,Helena,GPT-5.6 Sol synthetic
Q009,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_12.md,conflict,Bianca,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_01.md,conflict,Kufa,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_02.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_03.md,conflict,Damascus,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_04.md,gold,Baghdad,Discern-and-Answer clean context
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_05.md,conflict,Damascus,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_06.md,conflict,Damascus,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_07.md,conflict,Samarra,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_08.md,conflict,Basra,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_09.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_10.md,conflict,Damascus,GPT-5.6 Sol synthetic
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_11.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q010,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_12.md,conflict,Samarra,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_01.md,conflict,Bristol Channel,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_02.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_03.md,conflict,English Channel,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_04.md,gold,The Irish Sea,Discern-and-Answer clean context
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_05.md,conflict,English Channel,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_06.md,conflict,North Sea,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_07.md,conflict,Celtic Sea,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_08.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_09.md,conflict,North Sea,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_10.md,conflict,English Channel,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_11.md,conflict,English Channel,GPT-5.6 Sol synthetic
Q011,what is the body of water between england and ireland,The Irish Sea,Q011_source_12.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_01.md,conflict,Hari Singh Nalwa,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_02.md,conflict,Duleep Singh,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_03.md,gold,Ranjit Singh,Discern-and-Answer clean context
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_04.md,conflict,Sher Singh,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_06.md,conflict,Duleep Singh,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_07.md,conflict,Gulab Singh,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_08.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_09.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_10.md,conflict,Duleep Singh,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_11.md,conflict,Sher Singh,GPT-5.6 Sol synthetic
Q012,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_12.md,conflict,Duleep Singh,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_01.md,conflict,Reuben,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_02.md,conflict,Esau,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_03.md,conflict,Isaac,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_04.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q013,who was leah married to in the bible,Jacob,Q013_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q013,who was leah married to in the bible,Jacob,Q013_source_06.md,conflict,Esau,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_07.md,conflict,Esau,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_08.md,conflict,Laban,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_09.md,gold,Jacob,Discern-and-Answer clean context
Q013,who was leah married to in the bible,Jacob,Q013_source_10.md,conflict,Isaac,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_11.md,conflict,Esau,GPT-5.6 Sol synthetic
Q013,who was leah married to in the bible,Jacob,Q013_source_12.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_02.md,conflict,"December 18, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_03.md,conflict,"February 1, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_04.md,conflict,"January 31, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_05.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_06.md,conflict,"January 31, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_07.md,conflict,"December 18, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_08.md,gold,"December 6, 1865",Discern-and-Answer clean context
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_09.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_10.md,conflict,"December 18, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_11.md,conflict,"December 7, 1865",GPT-5.6 Sol synthetic
Q014,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_12.md,conflict,"December 18, 1865",GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_01.md,conflict,James I,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_02.md,conflict,Edward VI,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_03.md,conflict,Henry VII,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_04.md,gold,Henry VIII,Discern-and-Answer clean context
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_05.md,conflict,Henry VII,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_06.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_07.md,conflict,Henry VII,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_08.md,conflict,Henry VII,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_09.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_10.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_11.md,conflict,Edward VI,GPT-5.6 Sol synthetic
Q015,which monarch separated england from the catholic church,Henry VIII,Q015_source_12.md,conflict,Elizabeth I,GPT-5.6 Sol synthetic
