question_id,question,gold_answer,document,role,variant,base_context_id,base_title
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_07.md,noise,same_topic_answer_removed,7813331,History of Sikhism
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_08.md,conflict,synthetic_conflict_excerpt,7813331,History of Sikhism
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_09.md,conflict,macnoise_full,2782684,Ranjit Singh
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_10.md,conflict,macnoise_full,5860234,Sikh Empire
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_11.md,conflict,macnoise_full,7813331,History of Sikhism
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_12.md,noise,same_topic_answer_removed,5860234,Sikh Empire
Q012,who was leah married to in the bible,Jacob,Q012_source_01.md,conflict,synthetic_conflict_excerpt,2177513,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_02.md,conflict,macnoise_full,2177515,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_03.md,noise,same_topic_answer_removed,10418494,Leah (given name)
Q012,who was leah married to in the bible,Jacob,Q012_source_04.md,conflict,macnoise_full,2177523,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_05.md,conflict,macnoise_full,2177513,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_06.md,conflict,synthetic_conflict_excerpt,2177515,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_07.md,gold,clean_full,8184102,Cousin marriage
Q012,who was leah married to in the bible,Jacob,Q012_source_08.md,noise,same_topic_answer_removed,8184102,Cousin marriage
Q012,who was leah married to in the bible,Jacob,Q012_source_09.md,noise,same_topic_answer_removed,2177523,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_10.md,conflict,synthetic_conflict_excerpt,8184102,Cousin marriage
Q012,who was leah married to in the bible,Jacob,Q012_source_11.md,conflict,synthetic_conflict_excerpt,2177523,Leah
Q012,who was leah married to in the bible,Jacob,Q012_source_12.md,conflict,macnoise_full,8184102,Cousin marriage
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_01.md,gold,clean_full,3772574,Mark Lenard
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_02.md,noise,same_topic_answer_removed,1288061,Sarek
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_03.md,conflict,synthetic_conflict_excerpt,3772574,Mark Lenard
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_04.md,conflict,macnoise_full,1288061,Sarek
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_05.md,conflict,synthetic_conflict_excerpt,1288046,Sarek
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_06.md,conflict,macnoise_full,1288046,Sarek
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_07.md,noise,same_topic_answer_removed,3108597,James Frain
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_08.md,noise,same_topic_answer_removed,3772580,Mark Lenard
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_09.md,conflict,macnoise_full,3772574,Mark Lenard
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_10.md,conflict,macnoise_full,3772580,Mark Lenard
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_11.md,conflict,synthetic_conflict_excerpt,1288061,Sarek
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_12.md,conflict,synthetic_conflict_excerpt,3772580,Mark Lenard
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_01.md,noise,same_topic_answer_removed,11725019,Protestantism in the United Kingdom
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_02.md,conflict,macnoise_full,74098,Church of England
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_03.md,conflict,macnoise_full,8083170,Catholic Church in England and Wales
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_04.md,conflict,synthetic_conflict_excerpt,8083170,Catholic Church in England and Wales
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_05.md,conflict,macnoise_full,11725019,Protestantism in the United Kingdom
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_06.md,conflict,synthetic_conflict_excerpt,11725019,Protestantism in the United Kingdom
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_07.md,noise,same_topic_answer_removed,8083170,Catholic Church in England and Wales
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_08.md,noise,same_topic_answer_removed,177521,History of England
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_09.md,conflict,synthetic_conflict_excerpt,74098,Church of England
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_10.md,conflict,macnoise_full,575644,Monarchy of the United Kingdom
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_11.md,conflict,synthetic_conflict_excerpt,575644,Monarchy of the United Kingdom
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_12.md,gold,clean_full,8083170,Catholic Church in England and Wales
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_01.md,conflict,macnoise_full,5508189,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_02.md,noise,same_topic_answer_removed,5508188,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_03.md,conflict,macnoise_full,45148,Beastie Boys
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_04.md,conflict,synthetic_conflict_excerpt,45148,Beastie Boys
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_05.md,noise,same_topic_answer_removed,45148,Beastie Boys
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_06.md,conflict,macnoise_full,5508181,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_07.md,gold,clean_full,5508181,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_08.md,noise,same_topic_answer_removed,5508189,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_09.md,conflict,synthetic_conflict_excerpt,9043673,"4, 3, 2, 1 (LL Cool J song)"
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_10.md,conflict,synthetic_conflict_excerpt,5508189,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_11.md,conflict,synthetic_conflict_excerpt,5508181,(You Gotta) Fight for Your Right (To Party!)
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_12.md,conflict,macnoise_full,9043673,"4, 3, 2, 1 (LL Cool J song)"
